geoid,geoid20,year,denom_renters,med_gross_rent,med_gross_rent_adj
1400000US06037101110,6037101110,2021,644,1689,1768.6206
1400000US06037101122,6037101122,2021,344,2529,2648.2188
1400000US06037101220,6037101220,2021,762,1324,1386.4143
1400000US06037101221,6037101221,2021,1140,1484,1553.9568
1400000US06037101222,6037101222,2021,816,1525,1596.8895
1400000US06037101300,6037101300,2021,242,2393,2505.8076
1400000US06037101400,6037101400,2021,387,1380,1445.0542
1400000US06037102103,6037102103,2021,250,2125,2225.1741
1400000US06037102104,6037102104,2021,289,2986,3126.7622
1400000US06037102105,6037102105,2021,251,1897,1986.4259
1400000US06037102107,6037102107,2021,260,1605,1680.6608
1400000US06037103101,6037103101,2021,110,2453,2568.6362
1400000US06037103102,6037103102,2021,430,1654,1731.9707
1400000US06037103201,6037103201,2021,883,1588,1662.8594
1400000US06037103202,6037103202,2021,19,,
1400000US06037103300,6037103300,2021,42,3145,3293.2576
1400000US06037103401,6037103401,2021,138,1813,1898.4661
1400000US06037103402,6037103402,2021,304,1578,1652.3881
1400000US06037104103,6037104103,2021,173,2208,2312.0867
1400000US06037104105,6037104105,2021,762,1147,1201.0704
1400000US06037104108,6037104108,2021,729,1574,1648.1995
1400000US06037104124,6037104124,2021,286,1552,1625.1624
1400000US06037104201,6037104201,2021,188,1838,1924.6447
1400000US06037104203,6037104203,2021,466,1321,1383.2728
1400000US06037104204,6037104204,2021,258,1010,1057.6121
1400000US06037104310,6037104310,2021,222,2410,2523.6091
1400000US06037104321,6037104321,2021,602,1093,1144.5248
1400000US06037104322,6037104322,2021,160,1160,1214.6832
1400000US06037104401,6037104401,2021,269,1431,1498.4584
1400000US06037104403,6037104403,2021,189,1782,1866.0048
1400000US06037104404,6037104404,2021,418,1477,1546.6268
1400000US06037104500,6037104500,2021,142,1816,1901.6075
1400000US06037104610,6037104610,2021,263,1765,1848.2034
1400000US06037104620,6037104620,2021,233,1615,1691.1322
1400000US06037104701,6037104701,2021,644,1306,1367.5658
1400000US06037104703,6037104703,2021,348,1298,1359.1886
1400000US06037104704,6037104704,2021,399,1758,1840.8733
1400000US06037104821,6037104821,2021,401,1607,1682.7551
1400000US06037104822,6037104822,2021,444,1750,1832.4962
1400000US06037104823,6037104823,2021,153,2272,2379.1038
1400000US06037104824,6037104824,2021,113,1024,1072.2721
1400000US06037106010,6037106010,2021,207,2331,2440.885
1400000US06037106020,6037106020,2021,275,2664,2789.5828
1400000US06037106111,6037106111,2021,107,2258,2364.4436
1400000US06037106112,6037106112,2021,169,2456,2571.7776
1400000US06037106113,6037106113,2021,177,2083,2181.1941
1400000US06037106114,6037106114,2021,829,1633,1709.9807
1400000US06037106403,6037106403,2021,224,2027,2122.5542
1400000US06037106405,6037106405,2021,474,1517,1588.5125
1400000US06037106406,6037106406,2021,372,2133,2233.551
1400000US06037106407,6037106407,2021,680,1718,1798.9877
1400000US06037106408,6037106408,2021,812,1655,1733.0178
1400000US06037106510,6037106510,2021,444,2122,2222.0325
1400000US06037106520,6037106520,2021,517,1861,1948.7289
1400000US06037106603,6037106603,2021,91,3501,3666.0396
1400000US06037106604,6037106604,2021,665,1492,1562.3339
1400000US06037106641,6037106641,2021,91,3000,3141.4221
1400000US06037106642,6037106642,2021,90,2069,2166.5342
1400000US06037106643,6037106643,2021,132,2354,2464.9692
1400000US06037106645,6037106645,2021,160,3501,3666.0396
1400000US06037106646,6037106646,2021,106,1438,1505.7883
1400000US06037106648,6037106648,2021,594,1245,1303.6902
1400000US06037106649,6037106649,2021,134,2625,2748.7444
1400000US06037107010,6037107010,2021,174,1723,1804.2234
1400000US06037107020,6037107020,2021,335,1841,1927.786
1400000US06037108101,6037108101,2021,114,3267,3421.0085
1400000US06037108102,6037108102,2021,126,2452,2567.5891
1400000US06037108103,6037108103,2021,93,3501,3666.0396
1400000US06037108104,6037108104,2021,70,3501,3666.0396
1400000US06037108202,6037108202,2021,952,2127,2227.2683
1400000US06037108203,6037108203,2021,344,3501,3666.0396
1400000US06037108204,6037108204,2021,61,,
1400000US06037109100,6037109100,2021,230,2068,2165.4871
1400000US06037109200,6037109200,2021,170,2625,2748.7444
1400000US06037109300,6037109300,2021,100,2696,2823.0913
1400000US06037109400,6037109400,2021,332,1918,2008.4159
1400000US06037109500,6037109500,2021,331,1785,1869.1461
1400000US06037109601,6037109601,2021,158,3084,3229.3818
1400000US06037109603,6037109603,2021,502,1736,1817.8363
1400000US06037109604,6037109604,2021,210,1216,1273.3231
1400000US06037109700,6037109700,2021,345,2407,2520.4678
1400000US06037109800,6037109800,2021,428,2168,2270.2009
1400000US06037111100,6037111100,2021,326,2045,2141.4028
1400000US06037111201,6037111201,2021,137,2145,2246.1167
1400000US06037111202,6037111202,2021,713,2513,2631.4646
